,entropy
0,0.0
1,0.0
2,0.6365141682948128
3,0.5623351446188083
4,0.9502705392332347
5,0.8675632284814612
6,0.9556998911125343
7,0.9743147528693494
8,1.0608569471580214
9,1.2798542258336674
10,1.240684291953396
11,1.4241299173467734
12,1.377819508039033
13,1.376055285260417
14,1.4368286689630319
15,1.4941751382893085
16,1.6300005591616533
17,1.5945144483835854
18,1.616282448844816
19,1.7339835697484476
20,1.6993255155252154
21,1.7439774657545772
22,1.7382141357129237
23,1.8389937534740628
24,1.8077985965657817
25,1.847972496918391
26,1.8865954056413563
27,1.9050951553650362
28,1.9235508493116762
29,2.0055772336765174
30,1.9785215859856748
31,1.9854616918010126
32,1.992928309029084
33,2.0008471155305934
34,2.0734207498062904
35,2.049673022351917
36,2.0509053424430927
37,2.0527841277492063
38,2.050078454633989
39,2.0481491610757243
40,2.1128595856914187
41,2.0931162011833107
42,2.096705798579764
43,2.1575247331025036
44,2.137802101205046
45,2.137291728257896
46,2.194784096632715
47,2.175272975361042
48,2.1719149933296547
49,2.166232580941763
50,2.1828243831320986
51,2.2358771084044355
52,2.217970892210176
53,2.2159501880616457
54,2.2413309539549826
55,2.2908852135876154
56,2.2733882983684945
57,2.2883683249524593
58,2.335497922474369
59,2.3179522445959533
60,2.3121357015478012
61,2.3350485417987046
62,2.3794946901808025
63,2.3624551603213706
64,2.3709914598506137
65,2.4135831109214783
66,2.3966571475259224
67,2.3902546706338654
68,2.411273160974183
69,2.403830988037446
70,2.4035628064940933
71,2.4433701188930996
72,2.4278893469597578
73,2.4301328752451417
74,2.450057733668471
75,2.4425845207236745
76,2.442894713869518
77,2.4349705399674795
78,2.4338814264622592
79,2.453326109480181
80,2.489559747073721
81,2.476031835842202
82,2.4884079542846385
83,2.5233654864445914
84,2.509782162099921
85,2.502064342872143
86,2.514116434796172
87,2.526025234926318
88,2.5592496393887
89,2.5461557592963353
90,2.5455516682409685
91,2.5778427804935484
92,2.5648582217007245
93,2.557402349855058
94,2.5652113208060134
95,2.5703352608098036
96,2.578065804053421
97,2.6086962345721396
98,2.596400803518421
99,2.5962967169375695
100,2.62613688411797
101,2.6139339772851953
102,2.606897650256732
103,2.6144296646251775
104,2.643332079779578
105,2.6314291527607216
106,2.6364263494064524
107,2.651748261734835
108,2.6668739866037
109,2.694410778309022
110,2.682667268646008
111,2.6817017785401878
112,2.6963473872993373
113,2.6992604132816247
114,2.7136518643285794
115,2.7398209638306144
116,2.7284381813901577
117,2.7275780819972213
118,2.7371393375135384
119,2.739996061370724
120,2.76521631609791
121,2.7541536336708345
122,2.752553022985995
123,2.7618606269887898
124,2.786360166194985
125,2.775473349192832
126,2.7770005312963204
127,2.7834206304502156
128,2.807238504485055
129,2.7965192301891575
130,2.7969825146157583
131,2.7965471590464164
132,2.800968369537807
133,2.8240514349884864
134,2.8136537299660773
135,2.8117737194521615
136,2.824315721625723
137,2.8467744606954004
138,2.8365052907977084
139,2.8354390581935967
140,2.837133753880168
141,2.859071527698317
142,2.8489970109494314
143,2.847374364629893
144,2.8451941670487564
145,2.8481504184062043
146,2.8565132113569955
147,2.8777112725006297
148,2.868002360849578
149,2.8672587770749165
150,2.8789171089055166
151,2.8995859687783776
152,2.8899800593157234
153,2.887501207950765
154,2.8916991371452343
155,2.911923142730487
156,2.902476135496472
157,2.8996564309108153
158,2.8964623812373915
159,2.898367166707013
160,2.9095077306651445
161,2.9291064702607157
162,2.919971131758519
163,2.9189092002284354
164,2.9266331840182183
165,2.9232697499836924
166,2.9273997615928984
167,2.9464091788819258
168,2.9375585938989013
169,2.9361071885222643
170,2.9342192635242763
171,2.9353599687358085
172,2.9539439910911045
173,2.9453287936991623
174,2.944040581030098
175,2.9544798011889037
176,2.9556361765991443
177,2.9659566190075957
178,2.9839377959600895
179,2.975496500880966
180,2.9733847441427455
181,2.983503289657029
182,3.001116653768211
183,2.992755869906164
184,2.9896298432921715
185,2.9995606468768665
186,3.0168273281296756
187,3.0085518569302763
188,3.005210482243167
189,3.001639579190248
190,3.002207760366355
191,3.009203262487068
192,3.0070112488337113
193,3.016660582801182
194,3.023554059590717
195,3.0401459230073504
196,3.0322527620019386
197,3.0350311332187805
198,3.0513917207033896
199,3.043525367052869
200,3.040809349889162
201,3.056972612291539
202,3.049161445869241
203,3.0462420280245954
204,3.0431038621177566
205,3.043256830327695
206,3.049911420183086
207,3.065705742066547
208,3.0581149339206055
209,3.055952749714887
210,3.0649917904824084
211,3.0805070370698333
212,3.072980689392506
213,3.0698047565058637
214,3.085146635930354
215,3.0776737549693127
216,3.074584404907623
217,3.0809975749073923
218,3.0897623840661366
219,3.086495398895808
220,3.0842609832663452
221,3.08906647956581
222,3.0977192392934993
223,3.1024618766245426
224,3.117179267752726
225,3.110007511444124
226,3.1161889833225964
227,3.1307107396822946
228,3.12354592996759
229,3.1204678020864347
230,3.1251017488294552
231,3.139409840843336
232,3.132322637243991
233,3.1291298846540716
234,3.1337213074925665
235,3.1478229551818626
236,3.1408122269607306
237,3.137517780176431
238,3.1340865075223032
239,3.1340592954893145
240,3.1422018918069954
241,3.1560228292733723
242,3.149178349846403
243,3.1470630756528237
244,3.155086982490144
245,3.1686975892926372
246,3.161905258220064
247,3.1584814717290577
248,3.160433867195116
249,3.168324787265254
250,3.1816918528798004
251,3.1749915468977363
252,3.174323393533082
253,3.187555833616202
254,3.1808890572003246
255,3.1781326897490665
256,3.1912416210391616
257,3.1846166710078494
258,3.1817473482545964
259,3.1787476704608357
260,3.1785247692349783
261,3.1819060546825293
262,3.194789493551968
263,3.1883247160195234
264,3.1863317612182804
265,3.188932946312892
266,3.1857787378625857
267,3.190084706771934
268,3.202734393125886
269,3.1964055095788284
270,3.194315329329168
271,3.1920701841956047
272,3.191667642141551
273,3.1959387839087787
274,3.2014277636148973
275,3.213808775629431
276,3.2076332353482258
277,3.210204529965343
278,3.2224597736649776
279,3.216300438292454
280,3.213530577309343
281,3.215501453608767
282,3.222716585106148
283,3.23477466616122
284,3.2286866959867275
285,3.2280681430297755
286,3.2351879183760603
287,3.247083871284967
288,3.241031814211812
289,3.238100909356942
290,3.243337884162138
291,3.2503427035804666
292,3.2620427768776756
293,3.2560488787421864
294,3.2552193168507046
295,3.25663582952899
296,3.2682028696466707
297,3.2622633339389906
298,3.259328134034231
299,3.2603391238889756
300,3.2573333278223995
301,3.2583662661250123
302,3.2697646639996103
303,3.2639538022935985
304,3.2619431598469912
305,3.267010034577176
306,3.270124676790768
307,3.2751532724560803
308,3.2863395770938997
309,3.280603426173954
310,3.2784945742464005
311,3.2762701491585484
312,3.275841628154512
313,3.2824838668387457
314,3.293494977276982
315,3.2878599936056796
316,3.2855598647055975
317,3.284724176029463
318,3.28857858765882
319,3.2994478947775154
320,3.2938866164269616
321,3.292880104722048
322,3.2900902602967848
323,3.300859113554501
