,entropy
409,4.36458517698369
410,4.371039655097178
411,4.377468706356779
412,4.380515856219794
413,4.382290249721408
414,4.385322751218321
415,4.384777908414735
416,4.386546651359856
417,4.387499754411084
418,4.387850983002791
419,4.3877268045574045
420,4.38721113522532
421,4.3863638535135605
422,4.384317431552147
423,4.383492135703493
424,4.385275376018644
425,4.384168569631949
426,4.390424877754288
427,4.393418417056886
428,4.395183754094578
429,4.39615607312477
430,4.39506396677519
431,4.398040607883627
432,4.396068505449898
433,4.393933395084538
434,4.391649054686832
435,4.393427272615801
436,4.394425030751963
437,4.39739388256986
438,4.399162500354969
439,4.3995817341808054
440,4.397195480115409
441,4.397171984805385
442,4.398178593582751
443,4.404251834565477
444,4.4071875731011705
445,4.408941983323112
446,4.414965467009898
447,4.414932751852398
448,4.41453222065972
449,4.4149579791249245
450,4.414940313136944
451,4.413716430662185
452,4.412281715558747
453,4.410657666119815
454,4.409465820651409
455,4.411225441682861
456,4.4171605906071685
457,4.418163375577829
458,4.421046822978257
459,4.421496996464746
460,4.421513153535348
461,4.423252171284026
462,4.424254446904768
463,4.423917674310225
464,4.423586984982934
465,4.429422875368015
466,4.432269857364451
467,4.431630900122288
468,4.430732000653496
469,4.431197796379622
470,4.431238625936367
471,4.43062531873014
472,4.429754120799876
473,4.428656162724068
474,4.426404368991743
475,4.425116480878019
476,4.423647548513306
477,4.423384163995827
478,4.42282698356757
479,4.421783414808443
480,4.42750699824531
481,4.426258869578155
482,4.424831726877433
483,4.427662150531688
484,4.4294063002191395
485,4.430448341849317
486,4.436109098284083
487,4.4345265555941
488,4.43732925166805
489,4.435601892624776
490,4.438399303728798
491,4.440125970311101
492,4.441160509337559
493,4.441683485169056
494,4.442208437447457
495,4.443929841160622
496,4.44209825780324
497,4.442227032657158
498,4.442023750414781
499,4.443068236619178
500,4.443608210826984
501,4.449134097741137
502,4.451885920834694
503,4.452017528719154
504,4.457505746832756
505,4.457302639916846
506,4.455813014022981
507,4.455339632615629
508,4.454625755521609
509,4.453700214742623
510,4.45643093079323
511,4.456582394156794
512,4.454984454957196
513,4.4604052047945375
514,4.463116847186683
515,4.464807695625811
516,4.4658385019280775
517,4.466381279437606
518,4.468067244925777
519,4.469096973450295
520,4.4692549878602925
521,4.469801811645125
522,4.4696450406920745
523,4.469812072341654
524,4.469663156105496
525,4.474976249039578
526,4.477642246328198
527,4.477218657652495
528,4.476563336548326
529,4.476150522189513
530,4.47550679417675
531,4.47465973876734
532,4.473631457230814
533,4.4718808222641755
534,4.470023333421626
535,4.468850097627765
536,4.466902521327035
537,4.4655913024514
538,4.464612079779075
539,4.469845469708267
540,4.472500469086505
541,4.47418367932704
542,4.47938074058765
543,4.479284848302538
544,4.480332999449433
545,4.478902429299593
546,4.477349744357886
547,4.479980617017031
548,4.481652136177901
549,4.482703074216445
550,4.483294928348504
551,4.48296011944144
552,4.485573498856147
553,4.485016096788819
554,4.48338075270807
555,4.483620178010492
556,4.483561349698364
557,4.483249055306829
558,4.48585318959753
559,4.485121690438846
560,4.484594450789751
561,4.483874143774303
562,4.4829816389568515
563,4.482095448340647
564,4.481054409416434
565,4.482127404429457
566,4.482754101834241
567,4.484424777913925
568,4.489448638030541
569,4.490511742307578
570,4.4888528876768525
571,4.48947771171583
572,4.489752000796785
573,4.488741502560575
574,4.48759245320221
575,4.487877660486856
576,4.4861567467272
577,4.484348619752637
578,4.482458783717161
579,4.485033632672106
580,4.486701986441358
581,4.487783718887783
582,4.485826977245656
583,4.486479725934715
584,4.48904037990377
585,4.4893476468464195
586,4.489371515112344
587,4.489154411915296
588,4.488728153056027
589,4.4903908716020196
590,4.491475876789946
591,4.491510288039135
592,4.496388602484801
593,4.498919501697184
594,4.5005653144562725
595,4.500355037051558
596,4.499938345635806
597,4.499339660163471
598,4.498578541094474
599,4.497531966874301
600,4.498194559954843
601,4.497029727550661
602,4.499546748217182
603,4.498270670031749
604,4.4968912722576935
605,4.49574721649775
606,4.494491873823439
607,4.493939292334255
608,4.498729206139778
609,4.50123349346683
610,4.502875886565693
611,4.5039603610406225
612,4.5046317743401705
613,4.504975717541978
614,4.506611962413907
615,4.505905510794402
616,4.508388263373108
617,4.507539167740715
618,4.509171179712099
619,4.510800532789363
620,4.5118800567590265
621,4.512552474168398
622,4.513630885834804
623,4.513712462027248
624,4.5127489050851
625,4.513425886236273
626,4.513782115149744
627,4.5136448542580005
628,4.513311312454666
629,4.512804621505411
630,4.512143308285512
631,4.511342553115178
632,4.509557995108296
633,4.508637238091395
634,4.506795926206481
635,4.507179965212856
636,4.507302398685254
637,4.507202227032859
638,4.507329152100492
639,4.507719761653361
640,4.512329011666025
641,4.511315022730704
642,4.510195429093356
643,4.512633988311058
644,4.514256156107762
645,4.515349698485015
646,4.514350876896797
647,4.513144243066536
648,4.51770744439414
649,4.516407887470795
650,4.517113449981275
651,4.5157332338083345
652,4.5142744724691175
653,4.516693086539316
654,4.518307797831925
655,4.519401928670226
656,4.521808665819809
657,4.5234151908911855
658,4.524503519655566
659,4.5252080139571
660,4.525608046878882
661,4.524095353486947
662,4.522514055430126
663,4.522670983857352
664,4.523384294657715
665,4.523328728530157
666,4.524422237883707
667,4.525514717644783
668,4.526228483665664
669,4.52664181998702
